GENDER,ORG_BIZ_CHNG,CP_BC,MS_CHNG,SEC_CHNG,MFI_CHNG,HEQ_CHNG,IS_CHNG,ES_CHNG,PREP_TIME_CP,PREP_TIME_PP,TL_AVG,TIME_SPENT_PP,CS_AVG_CP,EC_AVG_CP,PA_AVG_CP,PC_AVG_CP,ST_AVG_CP,CS_AVG_PP,EC_AVG_PP,PA_AVG_PP,PC_AVG_PP,ST_AVG_PP,iPF_AVG_CP,iPF_AVG_PP
F,ORG_CHNG,N,N,N,D,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,High,8,2.333333333,2.333333333,3.75,2.75,3.75,2.666666667,3.666666667,1.5,4.5,3.75,2.983333333,3.216666667
M,ORG_CHNG,N,Y,U,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,High,3,2.666666667,4,2.5,4.25,3,3.833333333,4,3.5,4,3.5,3.283333333,3.766666667
M,ORG_CHNG,Y,Y,N,N,Y,Y,N,UPTO_3_MONTHS,BTWN_6_12_MONTHS,High,4,2.5,5,3.5,4.75,4.5,2.333333333,5,3.25,4.25,2.25,4.05,3.416666667
M,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,High,25,3.666666667,2,3.75,3.25,3,2.833333333,4,3.5,4,3,3.133333333,3.466666667
M,ORG_CHNG,N,N,N,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,High,1,2.5,2.666666667,2.5,4.25,2.75,2.833333333,2,3.75,3.5,3.25,2.933333333,3.066666667
M,ORG_CHNG,Y,N,N,N,N,N,N,BTWN_1_2_YEAR,BTWN_3_6_MONTHS,High,2,2.166666667,3.666666667,2.75,3.75,3,2,3,2,2.5,2.25,3.066666667,2.35
M,ORG_CHNG,N,Y,N,U,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,Low,2,2.5,5,2,4.5,3.75,3.666666667,5,2,5,4,3.55,3.933333333
M,ORG_CHNG,Y,Y,N,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,Low,9,2.5,3.333333333,3.75,4.25,3.25,3.833333333,3.333333333,4,3.25,3.25,3.416666667,3.533333333
M,ORG_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,UPTO_3_MONTHS,High,2,2.5,3.666666667,3,3.75,3.25,3.833333333,4,3.25,4,3.75,3.233333333,3.766666667
M,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,High,13,2.5,4,3,4.75,3.75,3.166666667,4,2.75,4.5,3.75,3.6,3.633333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_6_12_MONTHS,MORE_THAN_2_YEARS,High,20,2.5,3,2.5,4,2.75,2.833333333,4.333333333,2.75,3,2.75,2.95,3.133333333
M,ORG_CHNG,N,N,N,N,N,Y,Y,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,Low,10,2.5,4.333333333,3.5,4.5,2.25,3.666666667,2.666666667,2.25,4,4.25,3.416666667,3.366666667
M,BIZ_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,High,3,2.5,3,1.5,4.75,1.5,3.833333333,3.666666667,3,4,3,2.65,3.5
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,MORE_THAN_2_YEARS,Low,1,2.5,3.333333333,3.75,4.5,2.25,4,2.666666667,2.25,4,4.25,3.266666667,3.433333333
M,ORG_CHNG,N,N,N,N,N,Y,Y,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,2,2.5,3.333333333,3,4.25,3,3.5,3.666666667,3,3.75,3.5,3.216666667,3.483333333
M,ORG_CHNG,N,N,U,U,N,N,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,Low,8,2.5,3.333333333,2.75,4.5,3.5,3.333333333,3.333333333,3,4,3.25,3.316666667,3.383333333
M,ORG_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,UPTO_3_MONTHS,Low,5,3.5,4,3.5,4.5,3.5,3.5,3.666666667,2,4.75,3.75,3.8,3.533333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_6_12_MONTHS,BTWN_6_12_MONTHS,Low,1,2.5,3.666666667,2,4.5,3.25,3.166666667,4,2,4.75,3.25,3.183333333,3.433333333
M,ORG_CHNG,N,Y,N,U,N,N,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,3,2.5,3.333333333,2.25,4.75,3.25,2,3.666666667,3,3.25,3.25,3.216666667,3.033333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_6_12_MONTHS,MORE_THAN_2_YEARS,High,9,3.166666667,3.666666667,2.5,3.5,3,3.833333333,4.666666667,2,4,3.25,3.166666667,3.55
F,ORG_CHNG,N,N,N,D,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,Low,21,1.833333333,3.666666667,3,3.5,2.5,3.333333333,5,2.75,4.5,3.5,2.9,3.816666667
F,ORG_CHNG,N,N,N,U,N,Y,N,BTWN_6_12_MONTHS,BTWN_1_2_YEAR,Low,5,2.166666667,3,2.25,3.5,2.75,3.166666667,4,2.75,3.5,3.5,2.733333333,3.383333333
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_6_12_MONTHS,BTWN_1_2_YEAR,High,12,2.333333333,1.666666667,2.25,3.25,2.5,2.166666667,4,2.5,3,3.25,2.4,2.983333333
M,ORG_CHNG,N,Y,N,U,Y,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,High,6,2.333333333,4,1.25,3.5,4.5,3.333333333,4,3,3.75,4.25,3.116666667,3.666666667
M,ORG_CHNG,N,Y,N,U,Y,N,N,BTWN_1_2_YEAR,MORE_THAN_2_YEARS,Low,5,3.333333333,2.666666667,3.5,4,3.25,3.333333333,4,3.75,3.75,3.25,3.35,3.616666667
F,ORG_CHNG,N,N,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,4,2.5,4,3,4.5,3.25,3.5,4.333333333,2.5,3.25,3.75,3.45,3.466666667
M,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_6_12_MONTHS,BTWN_1_2_YEAR,High,10,2.666666667,4,4,3.5,3.25,3.666666667,3.666666667,3.75,3.25,3,3.483333333,3.466666667
M,ORG_CHNG,N,N,N,N,N,Y,N,UPTO_3_MONTHS,UPTO_3_MONTHS,Low,3,2.5,3.666666667,2.25,3.75,3.75,3,2.666666667,2.5,3.25,3.75,3.183333333,3.033333333
M,NO_EMP_CHNG,N,N,N,U,Y,N,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,Low,32,3,3.666666667,2.25,3.5,3.5,3,4,2,4,3.5,3.183333333,3.3
M,ORG_CHNG,N,Y,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,3,2.666666667,1.666666667,4,3.75,3,4.166666667,3,4,3.5,2.75,3.016666667,3.483333333
M,ORG_CHNG,N,N,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,18,2.833333333,3.333333333,3.75,3.75,3.25,2.833333333,4,4,4,3.5,3.383333333,3.666666667
M,ORG_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,10,2,4,3.75,3.25,3.75,3.166666667,4,3,3,3.5,3.35,3.333333333
F,ORG_CHNG,Y,Y,N,N,Y,Y,N,BTWN_3_6_MONTHS,UPTO_3_MONTHS,Low,7,2.333333333,5,2,4,4.75,3,5,2,5,4,3.616666667,3.8
M,ORG_CHNG,N,Y,U,U,N,Y,N,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,Low,3,2.166666667,2.333333333,3.5,3,3.75,3.166666667,2,3,2.75,3.5,2.95,2.883333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_6_12_MONTHS,BTWN_6_12_MONTHS,Low,20,2.833333333,3.333333333,1.5,4.75,4,3,3.333333333,2.25,5,3.5,3.283333333,3.416666667
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,Low,32,3.166666667,2.666666667,2.25,3.75,3,4.333333333,4,3.5,5,2.75,2.966666667,3.916666667
M,ORG_CHNG,Y,Y,U,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,2,2.333333333,4,2.5,3.75,3.75,2.666666667,3,2,3.25,2.5,3.266666667,2.683333333
M,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_6_12_MONTHS,BTWN_1_2_YEAR,High,17,2.5,4,3,4.25,2.5,2.833333333,4,2.75,4,3.5,3.25,3.416666667
M,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,Low,8,3.333333333,4,2.25,4.75,3,4.333333333,4.333333333,4.5,4,4.75,3.466666667,4.383333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,23,3.166666667,4,3.75,4,3,3.833333333,4,3.5,4,3.5,3.583333333,3.766666667
M,ORG_CHNG,N,Y,N,U,N,Y,Y,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,Low,5,2.666666667,2,4,4.25,3,4.333333333,3.333333333,2,4.75,3.75,3.183333333,3.633333333
M,ORG_CHNG,N,Y,N,U,Y,N,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,High,2,3.833333333,4,1.5,4,3,3.5,4.333333333,2.75,4.5,4.75,3.266666667,3.966666667
M,ORG_CHNG,N,Y,U,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,High,6,2.833333333,1.333333333,4.5,3.75,2.25,2.5,5,1.25,5,3,2.933333333,3.35
M,ORG_CHNG,N,N,U,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,Low,3,3.166666667,3.333333333,2.75,3.75,3.25,3.166666667,2,2.25,3.25,2.75,3.25,2.683333333
M,ORG_CHNG,N,N,N,D,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,20,2.666666667,4,2.25,4.25,4,4.166666667,4.666666667,2.5,4.5,3.75,3.433333333,3.916666667
M,ORG_CHNG,Y,Y,N,U,N,Y,Y,BTWN_6_12_MONTHS,BTWN_6_12_MONTHS,Low,10,2.833333333,3.333333333,2.75,3.25,3.5,3.166666667,3.333333333,2.75,3.5,4,3.133333333,3.35
M,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_3_6_MONTHS,BTWN_3_6_MONTHS,Low,2,2.333333333,5,2,4,5,3.666666667,5,2,5,4,3.666666667,3.933333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,High,5,3,2,1.75,3.75,2.25,3.333333333,4.666666667,1.75,4,1.75,2.55,3.1
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,Low,10,2.333333333,4.666666667,1.25,3.25,2.25,3.166666667,5,2,4,3.5,2.75,3.533333333
F,ORG_CHNG,N,N,N,U,Y,Y,N,BTWN_3_6_MONTHS,BTWN_3_6_MONTHS,Low,12,2.333333333,4.666666667,1.25,3.25,2.25,1.833333333,3.333333333,1.25,3,3.5,2.75,2.583333333
F,ORG_CHNG,Y,Y,N,N,Y,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,5,3.333333333,5,3,4,4.25,3,4.666666667,2,3.5,4,3.916666667,3.433333333
F,ORG_CHNG,Y,N,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,Low,11,3.333333333,5,2.5,4.25,3.75,3.5,4.666666667,2,4.25,4.25,3.766666667,3.733333333
M,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,Low,23,2.666666667,3.333333333,4,3.75,3.75,4,4.333333333,3.5,4.75,3.75,3.5,4.066666667
M,ORG_CHNG,N,N,N,U,N,Y,Y,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,9,3.166666667,2.333333333,1,3.5,1,3.333333333,3.333333333,3.75,3.5,3.75,2.2,3.533333333
F,ORG_CHNG,N,Y,U,U,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,3,3.5,5,3,4,4.25,3,4.666666667,2,3.5,4,3.95,3.433333333
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,3,3.5,5,3,4,4.25,3,4.666666667,2,3.5,4,3.95,3.433333333
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_3_6_MONTHS,Low,5,2.333333333,4.666666667,1.25,3.25,2.25,3,4.666666667,1.25,2.5,1.25,2.75,2.533333333
M,ORG_CHNG,N,Y,U,U,N,Y,N,BTWN_3_6_MONTHS,MORE_THAN_2_YEARS,Low,7,2.333333333,4.666666667,1.25,3.25,2.25,4.333333333,5,4.25,4.25,4,2.75,4.366666667
M,ORG_CHNG,Y,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,High,4,2.333333333,4.666666667,1.25,3.25,2.25,3.333333333,4.333333333,2.25,3.75,4,2.75,3.533333333
