GENDER,ORG_BIZ_CHNG,CP_BC,MS_CHNG,SEC_CHNG,MFI_CHNG,HEQ_CHNG,IS_CHNG,ES_CHNG,PREP_TIME_CP,PREP_TIME_PP,TL_AVG,TIME_SPENT_PP,CS_AVG_CP,EC_AVG_CP,PA_AVG_CP,PC_AVG_CP,ST_AVG_CP,CS_AVG_PP,EC_AVG_PP,PA_AVG_PP,PC_AVG_PP,ST_AVG_PP,iPF_AVG_CP,iPF_AVG_PP
F,ORG_CHNG,Y,N,N,N,N,Y,N,BTWN_3_6_MONTHS,MORE_THAN_2_YEARS,High,8,2.5,4.333333333,1.25,4.25,3.75,1.666666667,5,2,4.75,4,3.216666667,3.483333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,MORE_THAN_2_YEARS,Low,4,2.666666667,4.333333333,1.75,3.25,2.75,3.666666667,5,2,5,3.75,2.95,3.883333333
M,ORG_CHNG,Y,Y,U,U,Y,Y,N,BTWN_6_12_MONTHS,MORE_THAN_2_YEARS,High,10,3,2,2.75,3.25,3.5,4.666666667,3.666666667,4.25,4.5,3.75,2.9,4.166666667
M,ORG_CHNG,Y,Y,N,U,N,N,Y,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,High,7,3.666666667,5,2.25,4.75,4.75,1.666666667,4.333333333,1.25,3.5,4.5,4.083333333,3.05
M,ORG_CHNG,Y,Y,N,U,N,Y,Y,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,9,3.166666667,5,1.5,5,4.75,1.666666667,4.333333333,1.25,3.5,4.5,3.883333333,3.05
M,ORG_CHNG,N,X,N,N,N,Y,Y,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,High,6,2.666666667,4.333333333,1.75,3.25,2.75,1.666666667,4.333333333,1.25,3.5,4.5,2.95,3.05
M,ORG_CHNG,Y,Y,N,U,N,Y,Y,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,7,2.666666667,5,2,4.75,4.75,1.666666667,4.333333333,1.25,3.5,4.5,3.833333333,3.05
M,ORG_CHNG,Y,Y,N,N,N,Y,Y,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,7,3.666666667,5,2.25,4.75,4.75,1.666666667,4.333333333,1.25,3.5,4.5,4.083333333,3.05
M,ORG_CHNG,Y,N,N,N,Y,Y,Y,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,9,3.166666667,5,1.5,5,4.75,1.666666667,4.333333333,1.25,3.5,4.5,3.883333333,3.05
M,ORG_CHNG,Y,N,N,N,N,Y,Y,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,Low,6,2.666666667,4.333333333,1.75,3.25,2.75,1.666666667,4.333333333,1.25,3.5,4.5,2.95,3.05
M,ORG_CHNG,Y,Y,N,U,Y,Y,Y,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,8,2.666666667,5,2,4.75,4.75,1.666666667,4.333333333,1.25,3.5,4.5,3.833333333,3.05
F,ORG_CHNG,N,N,N,U,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,Low,9,2.666666667,4.333333333,1.75,3.25,2.75,2,4.666666667,1.25,4.75,3,2.95,3.133333333
F,ORG_CHNG,N,X,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,High,4,2.666666667,4.333333333,1.75,3.25,2.75,2,4.666666667,1.25,4.75,3,2.95,3.133333333
M,ORG_CHNG,N,Y,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,High,12,2.666666667,4.333333333,1.75,3.25,2.75,2,4.666666667,1.25,4.75,3,2.95,3.133333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,High,4,2.666666667,4.333333333,1.75,3.25,2.75,2,4.666666667,1.25,4.75,3,2.95,3.133333333
M,ORG_CHNG,N,N,N,N,Y,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,Low,9,2.666666667,4.333333333,1.75,3.25,2.75,2,4.666666667,1.25,4.75,3,2.95,3.133333333
F,ORG_CHNG,N,X,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,High,7,2.666666667,4.333333333,1.75,3.25,2.75,2,4.666666667,1.25,4.75,3,2.95,3.133333333
F,ORG_CHNG,Y,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,High,7,2.5,2.666666667,3.25,4.5,4.75,3.5,5,2,3.75,4,3.533333333,3.65
M,ORG_CHNG,Y,N,N,D,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,Low,7,2.666666667,3,1.75,4.25,3,3.5,5,2,3.75,4,2.933333333,3.65
M,ORG_CHNG,N,Y,N,N,N,Y,N,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,Low,7,1.166666667,5,2.25,3.5,2,1.666666667,4,1.25,3.5,3.5,2.783333333,2.783333333
M,ORG_CHNG,N,N,N,N,Y,Y,N,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,Low,10,1.166666667,5,2.25,3.5,2,1.666666667,4,1.25,3.5,3.5,2.783333333,2.783333333
M,ORG_CHNG,N,N,N,N,N,Y,Y,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,Low,7,1.166666667,5,2.25,3.5,2,1.666666667,4,1.25,3.5,3.5,2.783333333,2.783333333
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_6_12_MONTHS,MORE_THAN_2_YEARS,Low,6,1.166666667,5,2.25,3.5,2,3.666666667,5,2,5,3.75,2.783333333,3.883333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_6_12_MONTHS,MORE_THAN_2_YEARS,Low,8,1.166666667,5,2.25,3.5,2,3.666666667,5,2,5,3.75,2.783333333,3.883333333
F,ORG_CHNG,Y,N,N,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,Low,5,2.666666667,5,2,4.75,4.75,2.333333333,5,3.25,2.75,3.75,3.833333333,3.416666667
M,ORG_CHNG,Y,N,N,N,Y,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,Low,5,2.666666667,5,2,4.75,4.75,2.333333333,5,3.25,2.75,3.75,3.833333333,3.416666667
M,ORG_CHNG,Y,N,N,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,Low,6,2.666666667,5,2,4.75,4.75,2.333333333,5,3.25,2.75,3.75,3.833333333,3.416666667
F,ORG_CHNG,Y,N,N,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,High,7,2.666666667,5,2,4.75,4.75,1.166666667,5,2.25,3.5,2,3.833333333,2.783333333
M,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,Low,2,2.666666667,5,2,4.75,4.75,1.166666667,5,2.25,3.5,2,3.833333333,2.783333333
M,ORG_CHNG,Y,Y,U,N,Y,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,Low,6,2.666666667,5,2,4.75,4.75,1.166666667,5,2.25,3.5,2,3.833333333,2.783333333
F,ORG_CHNG,Y,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,High,3,2.666666667,5,2,4.75,4.75,1.166666667,5,2.25,3.5,2,3.833333333,2.783333333
F,ORG_CHNG,Y,Y,N,U,Y,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,Low,8,2.666666667,5,2,4.75,4.75,1.166666667,5,2.25,3.5,2,3.833333333,2.783333333
F,ORG_CHNG,Y,Y,N,U,Y,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,High,6,2.666666667,5,2,4.75,4.75,3,4.333333333,1.75,3,2.5,3.833333333,2.916666667
F,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_1_2_YEAR,BTWN_3_6_MONTHS,High,9,3.666666667,4.666666667,1.5,4,3.25,3,4.333333333,1.75,3,2.5,3.416666667,2.916666667
M,NO_EMP_CHNG,Y,N,N,U,Y,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,9,3.666666667,4.666666667,1.5,4,3.25,3.166666667,5,2,3.75,4,3.416666667,3.583333333
F,ORG_CHNG,Y,N,N,U,Y,N,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,5,3.666666667,4.666666667,1.5,4,3.25,3.5,5,2,3.75,4,3.416666667,3.65
F,ORG_CHNG,Y,Y,N,U,Y,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,4,3.666666667,4.666666667,1.5,4,3.25,3.5,5,2,3.75,4,3.416666667,3.65
F,ORG_CHNG,Y,Y,N,U,Y,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,High,6,2.666666667,5,2,4.75,4.75,3,4.333333333,1.75,3,2.5,3.833333333,2.916666667
F,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,Low,4,3.666666667,4.666666667,1.5,4,3.25,3.5,5,2,3.75,4,3.416666667,3.65
M,ORG_CHNG,Y,N,N,N,Y,N,N,BTWN_1_2_YEAR,BTWN_3_6_MONTHS,Low,5,3.666666667,4.666666667,1.5,4,3.25,1.833333333,5,1,4.25,2.5,3.416666667,2.916666667
M,ORG_CHNG,Y,N,U,U,Y,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,5,1.833333333,4.333333333,2.5,3.5,3.5,3.5,5,2,3.75,4,3.133333333,3.65
F,ORG_CHNG,Y,N,N,N,Y,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,High,6,2.666666667,5,2,4.75,4.75,3,4.333333333,1.75,3,2.5,3.833333333,2.916666667
M,ORG_CHNG,N,N,N,D,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,High,2,2.833333333,5,2.25,5,5,2.166666667,3.333333333,2.25,3,3.75,4.016666667,2.9
M,ORG_CHNG,Y,N,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,High,7,2.5,4.666666667,2,3.25,4.5,2.5,3.666666667,1.25,3.5,3.25,3.383333333,2.833333333
F,ORG_CHNG,Y,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,High,6,2.666666667,5,2,4.75,4.75,3,4.333333333,1.75,3,2.5,3.833333333,2.916666667
M,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,3,2.5,5,3,5,4.25,2.166666667,3.333333333,2.25,3,3.75,3.95,2.9
M,ORG_CHNG,Y,N,N,U,N,Y,Y,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,8,2.5,4.666666667,2,3.25,4.5,2.333333333,3.666666667,1.75,3,3.75,3.383333333,2.9
M,ORG_CHNG,Y,N,U,U,Y,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,Low,5,2.666666667,5,2,4.75,4.75,3,4.333333333,1.75,3,2.5,3.833333333,2.916666667
M,ORG_CHNG,Y,N,N,U,Y,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,Low,5,2.666666667,5,2,4.75,4.75,3,4.333333333,1.75,3,2.5,3.833333333,2.916666667
M,ORG_CHNG,Y,N,N,U,N,Y,Y,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,9,2.5,4.666666667,2,3.25,4.5,2.333333333,3.666666667,1.75,3,3.75,3.383333333,2.9
F,ORG_CHNG,Y,N,N,N,Y,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,Low,4,2.666666667,5,2,4.75,4.75,3,4.333333333,1.75,3,2.5,3.833333333,2.916666667
M,ORG_CHNG,Y,Y,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,High,7,2.5,4.666666667,2,3.25,4.5,2.5,3.666666667,1.25,3.5,3.25,3.383333333,2.833333333
F,ORG_CHNG,Y,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,High,6,2.5,2.666666667,3.25,4.5,4.75,3,4.333333333,1.75,3,2.5,3.533333333,2.916666667
F,ORG_CHNG,Y,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,High,8,2.666666667,5,2,4.75,4.75,3,4.333333333,1.75,3,2.5,3.833333333,2.916666667
F,ORG_CHNG,Y,Y,N,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,High,6,2.5,2.666666667,3.25,4.5,4.75,3,4.333333333,1.75,3,2.5,3.533333333,2.916666667
F,ORG_CHNG,Y,N,N,N,N,Y,Y,MORE_THAN_2_YEARS,BTWN_3_6_MONTHS,High,9,2.666666667,5,3.5,4.25,3.25,3,4.333333333,1.75,3,2.5,3.733333333,2.916666667
M,ORG_CHNG,Y,N,N,N,Y,Y,Y,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,10,2.666666667,5,3.5,4.25,3.25,1.833333333,4.333333333,2.5,3,2.75,3.733333333,2.883333333
M,ORG_CHNG,Y,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,High,7,2.666666667,5,3.5,4.25,3.25,3,5,3,3.75,4.25,3.733333333,3.8
M,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,High,10,2.666666667,5,3.5,4.25,3.25,1.833333333,4.333333333,2,4.25,3.25,3.733333333,3.133333333
F,ORG_CHNG,Y,N,N,U,Y,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,High,7,2.666666667,5,3.5,4.25,3.25,1.833333333,4.333333333,2,4.25,3.25,3.733333333,3.133333333
M,ORG_CHNG,Y,N,N,D,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,High,9,2.666666667,5,3.5,4.25,3.25,3,5,3,3.75,4.25,3.733333333,3.8
M,ORG_CHNG,N,N,N,D,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,13,2,4,1.25,3.25,2.25,3.5,5,2,3.75,4,2.55,3.65
M,ORG_CHNG,N,Y,N,N,Y,Y,N,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,Low,6,2.5,3.666666667,1.25,4.25,3.75,1.666666667,4.333333333,1.25,3.25,3.5,3.083333333,2.8
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,High,5,2.5,3.666666667,1.25,4.25,3.75,3.5,5,2,3.75,4,3.083333333,3.65
M,ORG_CHNG,N,N,N,D,N,Y,Y,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,3,1.666666667,2.333333333,2.25,4.25,3.5,3.5,5,2,3.75,4,2.8,3.65
M,ORG_CHNG,N,N,N,D,N,Y,Y,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,4,1.666666667,2.333333333,2.25,4.25,3.5,3.5,5,2,3.75,4,2.8,3.65
F,ORG_CHNG,Y,N,U,U,Y,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,3,2.333333333,5,2,3.75,5,1.833333333,2.666666667,2.25,3,3.5,3.616666667,2.65
F,ORG_CHNG,N,N,N,D,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,11,2,4,1.25,3.25,2.25,3.5,5,2,3.75,4,2.55,3.65
M,ORG_CHNG,Y,N,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,7,2.333333333,5,2,3.75,5,1.833333333,2.666666667,2.25,3,3.5,3.616666667,2.65
M,ORG_CHNG,N,Y,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,5,3.5,5,2,4.75,4.25,3.5,5,2,3.75,4,3.9,3.65
M,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,4,3.5,5,2,4.75,4.25,3.5,5,2,3.75,4,3.9,3.65
F,ORG_CHNG,N,Y,N,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_1_2_YEAR,Low,3,3.5,5,2,4.75,4.25,3.5,5,2,3.75,4,3.9,3.65
M,ORG_CHNG,Y,N,N,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,High,7,2.5,2,2.5,4.25,3,4.333333333,5,3.25,5,4.5,2.85,4.416666667
F,ORG_CHNG,Y,N,N,U,Y,Y,Y,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,High,6,2.666666667,3,3.75,4,4,3.166666667,3.666666667,3.5,3.5,3.5,3.483333333,3.466666667
